Key,Value
saleData.history.2024-08.dataByBedrooms[1].medianDaysOnMarket,58
saleData.history.2024-08.dataByBedrooms[1].minDaysOnMarket,2
saleData.history.2024-08.dataByBedrooms[1].maxDaysOnMarket,304
saleData.history.2024-08.dataByBedrooms[1].newListings,5
saleData.history.2024-08.dataByBedrooms[1].totalListings,49
saleData.history.2024-08.dataByBedrooms[2].bedrooms,3
saleData.history.2024-08.dataByBedrooms[2].averagePrice,282168
saleData.history.2024-08.dataByBedrooms[2].medianPrice,279990
saleData.history.2024-08.dataByBedrooms[2].minPrice,75000
saleData.history.2024-08.dataByBedrooms[2].maxPrice,765000
saleData.history.2024-08.dataByBedrooms[2].averagePricePerSquareFoot,176.35
saleData.history.2024-08.dataByBedrooms[2].medianPricePerSquareFoot,177.36
saleData.history.2024-08.dataByBedrooms[2].minPricePerSquareFoot,115.81
saleData.history.2024-08.dataByBedrooms[2].maxPricePerSquareFoot,237.32
saleData.history.2024-08.dataByBedrooms[2].averageSquareFootage,1607
saleData.history.2024-08.dataByBedrooms[2].medianSquareFootage,1573
saleData.history.2024-08.dataByBedrooms[2].minSquareFootage,1000
saleData.history.2024-08.dataByBedrooms[2].maxSquareFootage,2600
saleData.history.2024-08.dataByBedrooms[2].averageDaysOnMarket,40.81
saleData.history.2024-08.dataByBedrooms[2].medianDaysOnMarket,26
saleData.history.2024-08.dataByBedrooms[2].minDaysOnMarket,2
saleData.history.2024-08.dataByBedrooms[2].maxDaysOnMarket,224
saleData.history.2024-08.dataByBedrooms[2].newListings,44
saleData.history.2024-08.dataByBedrooms[2].totalListings,124
saleData.history.2024-08.dataByBedrooms[3].bedrooms,4
saleData.history.2024-08.dataByBedrooms[3].averagePrice,412531
saleData.history.2024-08.dataByBedrooms[3].medianPrice,399000
saleData.history.2024-08.dataByBedrooms[3].minPrice,119900
saleData.history.2024-08.dataByBedrooms[3].maxPrice,799900
saleData.history.2024-08.dataByBedrooms[3].averagePricePerSquareFoot,149.85
saleData.history.2024-08.dataByBedrooms[3].medianPricePerSquareFoot,147.38
saleData.history.2024-08.dataByBedrooms[3].minPricePerSquareFoot,137.97
saleData.history.2024-08.dataByBedrooms[3].maxPricePerSquareFoot,160.38
saleData.history.2024-08.dataByBedrooms[3].averageSquareFootage,2618
saleData.history.2024-08.dataByBedrooms[3].medianSquareFootage,2490
saleData.history.2024-08.dataByBedrooms[3].minSquareFootage,2044
saleData.history.2024-08.dataByBedrooms[3].maxSquareFootage,3469
saleData.history.2024-08.dataByBedrooms[3].averageDaysOnMarket,65.27
saleData.history.2024-08.dataByBedrooms[3].medianDaysOnMarket,46
saleData.history.2024-08.dataByBedrooms[3].minDaysOnMarket,3
saleData.history.2024-08.dataByBedrooms[3].maxDaysOnMarket,204
saleData.history.2024-08.dataByBedrooms[3].newListings,7
saleData.history.2024-08.dataByBedrooms[3].totalListings,33
saleData.history.2024-08.dataByBedrooms[4].bedrooms,5
saleData.history.2024-08.dataByBedrooms[4].averagePrice,559165
saleData.history.2024-08.dataByBedrooms[4].medianPrice,449990
saleData.history.2024-08.dataByBedrooms[4].minPrice,345000
saleData.history.2024-08.dataByBedrooms[4].maxPrice,975000
saleData.history.2024-08.dataByBedrooms[4].averagePricePerSquareFoot,150.59
saleData.history.2024-08.dataByBedrooms[4].medianPricePerSquareFoot,150.5
saleData.history.2024-08.dataByBedrooms[4].minPricePerSquareFoot,132.96
saleData.history.2024-08.dataByBedrooms[4].maxPricePerSquareFoot,160.32
saleData.history.2024-08.dataByBedrooms[4].averageSquareFootage,3300
saleData.history.2024-08.dataByBedrooms[4].medianSquareFootage,2990
saleData.history.2024-08.dataByBedrooms[4].minSquareFootage,2152
saleData.history.2024-08.dataByBedrooms[4].maxSquareFootage,4588
saleData.history.2024-08.dataByBedrooms[4].averageDaysOnMarket,137.8
saleData.history.2024-08.dataByBedrooms[4].medianDaysOnMarket,69
saleData.history.2024-08.dataByBedrooms[4].minDaysOnMarket,3
saleData.history.2024-08.dataByBedrooms[4].maxDaysOnMarket,327
saleData.history.2024-08.dataByBedrooms[4].newListings,0
saleData.history.2024-08.dataByBedrooms[4].totalListings,6
saleData.history.2024-09.date,2024-09-01T00:00:00.000Z
saleData.history.2024-09.averagePrice,291174
saleData.history.2024-09.medianPrice,277990
saleData.history.2024-09.minPrice,20000
saleData.history.2024-09.maxPrice,1500000
saleData.history.2024-09.averagePricePerSquareFoot,187.39
saleData.history.2024-09.medianPricePerSquareFoot,178
saleData.history.2024-09.minPricePerSquareFoot,64.9
saleData.history.2024-09.maxPricePerSquareFoot,500
saleData.history.2024-09.averageSquareFootage,1695
saleData.history.2024-09.medianSquareFootage,1600
saleData.history.2024-09.minSquareFootage,610
saleData.history.2024-09.maxSquareFootage,4588
saleData.history.2024-09.averageDaysOnMarket,63.65
saleData.history.2024-09.medianDaysOnMarket,41
saleData.history.2024-09.minDaysOnMarket,2
saleData.history.2024-09.maxDaysOnMarket,357
saleData.history.2024-09.newListings,66
saleData.history.2024-09.totalListings,269
saleData.history.2024-09.dataByPropertyType[0].propertyType,Condo
saleData.history.2024-09.dataByPropertyType[0].averagePrice,149900
saleData.history.2024-09.dataByPropertyType[0].medianPrice,149900
saleData.history.2024-09.dataByPropertyType[0].minPrice,149900
saleData.history.2024-09.dataByPropertyType[0].maxPrice,149900
saleData.history.2024-09.dataByPropertyType[0].averagePricePerSquareFoot,133.72
saleData.history.2024-09.dataByPropertyType[0].medianPricePerSquareFoot,133.72
saleData.history.2024-09.dataByPropertyType[0].minPricePerSquareFoot,133.72
saleData.history.2024-09.dataByPropertyType[0].maxPricePerSquareFoot,133.72
saleData.history.2024-09.dataByPropertyType[0].averageSquareFootage,1121
saleData.history.2024-09.dataByPropertyType[0].medianSquareFootage,1121
saleData.history.2024-09.dataByPropertyType[0].minSquareFootage,1121
saleData.history.2024-09.dataByPropertyType[0].maxSquareFootage,1121
saleData.history.2024-09.dataByPropertyType[0].averageDaysOnMarket,47
saleData.history.2024-09.dataByPropertyType[0].medianDaysOnMarket,47
saleData.history.2024-09.dataByPropertyType[0].minDaysOnMarket,47
saleData.history.2024-09.dataByPropertyType[0].maxDaysOnMarket,47
saleData.history.2024-09.dataByPropertyType[0].newListings,0
saleData.history.2024-09.dataByPropertyType[0].totalListings,1
saleData.history.2024-09.dataByPropertyType[1].propertyType,Land
saleData.history.2024-09.dataByPropertyType[1].averagePrice,214267
saleData.history.2024-09.dataByPropertyType[1].medianPrice,90000
saleData.history.2024-09.dataByPropertyType[1].minPrice,20000
saleData.history.2024-09.dataByPropertyType[1].maxPrice,1500000
saleData.history.2024-09.dataByPropertyType[1].averagePricePerSquareFoot,
